id,order_date,order_status,order_count,order_price,product_id,member_id,address
0,2020-01-24 18:18:08,PAYMENT_WAITING,2,20000000000,8,12,경기도
1,2020-05-05 3:57:17,PAYMENT_WAITING,7,14000,18,2,서울
2,2020-01-20 20:56:15,PAYMENT_WAITING,3,1077000,23,34,은평구
3,2020-02-10 18:47:53,PAYMENT_WAITING,10,80000000,39,12,녹번동
4,2020-09-10 2:07:40,PAYMENT_WAITING,4,3199996,11,44,서울특별시
5,2020-11-06 5:53:20,PAYMENT_WAITING,2,2000,36,44,서울특별시
6,2020-02-11 18:16:37,PAYMENT_WAITING,7,69999999999993,30,14,녹번동
7,2020-03-28 2:38:11,PAYMENT_WAITING,4,9600000,31,28,서울특별시
8,2020-07-22 17:04:44,PAYMENT_WAITING,10,10000000,12,29,경기도
9,2020-04-03 6:12:39,PAYMENT_WAITING,6,6900000,16,13,녹번동
10,2020-03-17 13:10:45,PAYMENT_WAITING,5,6200000,5,14,서울
11,2020-09-25 6:16:07,PAYMENT_WAITING,10,50000,35,35,지구
12,2020-11-04 23:34:09,PAYMENT_WAITING,7,35000,35,36,경기도
13,2020-10-31 13:47:44,PAYMENT_WAITING,2,4000000,1,34,평양시
14,2020-04-21 10:27:44,PAYMENT_WAITING,6,60000,17,23,경기도
15,2020-06-25 21:47:46,PAYMENT_WAITING,10,99999999999990,30,23,서울특별시
16,2020-06-25 3:01:54,PAYMENT_WAITING,7,6300,45,35,경기도
17,2020-05-19 15:42:26,PAYMENT_WAITING,9,45000,46,44,지구
18,2020-03-26 15:05:16,PAYMENT_WAITING,7,69999999999993,30,36,서울특별시
19,2020-04-26 0:49:49,PAYMENT_WAITING,3,3720000,5,31,은평구
20,2020-03-17 23:36:41,PAYMENT_WAITING,4,9400000,43,29,서울시
21,2020-10-30 11:19:38,PAYMENT_WAITING,3,390000,2,16,서울
22,2020-03-01 14:08:24,PAYMENT_WAITING,1,2000,18,28,서울
23,2020-08-12 8:33:09,PAYMENT_WAITING,7,10500000,3,27,녹번동
